"row","col","weight"
"1552646_at","1552633_at",0.998863859868328
"1552633_at","1552646_at",0.998863859868328
"1552646_at","1552258_at",0.998729386499779
"1552258_at","1552646_at",0.998729386499779
"1552646_at","1552295_a_at",0.998600542238312
"1552295_a_at","1552646_at",0.998600542238312
"1552494_at","1552295_a_at",0.99854716497686
"1552295_a_at","1552494_at",0.99854716497686
"1552777_a_at","1552295_a_at",0.998531387244117
"1552295_a_at","1552777_a_at",0.998531387244117
"1552912_a_at","1552584_at",0.998416407579253
"1552584_at","1552912_a_at",0.998416407579253
"1552634_a_at","1552633_at",0.99834772538224
"1552633_at","1552634_a_at",0.99834772538224
"1552777_a_at","1552258_at",0.998312980774631
